packet_id,delivered,delay_ms
1,1,341.778
2,1,1029.33
3,1,1029.33
4,1,1029.33
5,1,341.778
6,1,1029.33
7,1,687.556
8,1,683.556
9,1,687.556
10,1,1363.11
11,1,691.556
12,1,345.778
13,1,1021.33
14,1,1696.89
15,1,691.556
16,1,1371.11
17,1,1704.89
18,1,1363.11
19,1,1030.67
20,1,1371.11
21,1,1029.33
22,1,1380.44
23,1,1029.33
24,1,687.556
25,1,1679.56
26,1,345.778
27,1,1029.33
28,1,1029.33
29,1,1029.33
30,1,1029.33
31,1,1038.67
32,1,345.778
33,1,363.111
34,1,1029.33
35,1,704.889
36,1,341.778
37,1,1375.11
38,1,1375.11
39,1,345.778
40,1,1375.11
41,1,687.556
42,1,687.556
43,1,345.778
44,1,1359.11
45,1,1033.33
46,1,1033.33
47,1,1025.33
48,1,1033.33
49,1,1017.33
50,1,1029.33
51,1,683.556
52,1,692.889
53,1,1029.33
54,1,345.778
55,1,345.778
56,1,683.556
57,1,683.556
58,1,692.889
59,1,1033.33
60,1,1371.11
61,1,683.556
62,1,1025.33
63,1,1029.33
64,1,1371.11
65,1,367.111
66,1,1371.11
67,1,359.111
68,1,683.556
69,1,704.889
70,1,1038.67
71,1,1371.11
72,1,687.556
73,1,687.556
74,1,1025.33
75,1,1025.33
76,1,1033.33
77,1,691.556
78,1,341.778
79,1,1029.33
80,1,1029.33
81,1,691.556
82,1,1363.11
83,1,359.111
84,1,1029.33
85,1,1375.11
86,1,345.778
87,1,363.111
88,1,1675.56
89,1,1029.33
90,1,696.889
91,1,1029.33
92,1,708.889
93,1,687.556
94,1,2363.11
95,1,1379.11
96,1,345.778
97,1,1696.89
98,1,687.556
99,1,1029.33
100,1,687.556
101,1,341.778
102,1,1033.33
103,1,1375.11
104,1,683.556
105,1,1033.33
106,1,691.556
107,1,1033.33
108,1,1033.33
109,1,700.889
110,1,1029.33
111,1,708.889
112,1,1042.67
113,1,367.111
114,1,367.111
115,1,687.556
116,1,1021.33
117,1,687.556
118,1,687.556
119,1,345.778
120,1,1355.11
121,1,1033.33
122,1,691.556
123,1,1033.33
124,1,345.778
125,1,687.556
126,1,1033.33
127,1,2364.44
128,1,1029.33
129,1,341.778
130,1,683.556
131,1,1696.89
132,1,345.778
133,1,687.556
134,1,687.556
135,1,1030.67
136,1,1029.33
137,1,341.778
138,1,363.111
139,1,1375.11
140,1,341.778
141,1,345.778
142,1,691.556
143,1,1029.33
144,1,1375.11
145,1,341.778
146,1,341.778
147,1,345.778
148,1,687.556
149,1,341.778
150,1,1029.33
151,1,683.556
152,1,341.778
153,1,341.778
154,1,345.778
155,1,691.556
156,1,1029.33
157,1,341.778
158,1,345.778
159,1,683.556
160,1,345.778
161,1,683.556
162,1,1033.33
163,1,687.556
164,1,687.556
165,1,345.778
166,1,683.556
167,1,341.778
168,1,341.778
169,1,341.778
170,1,341.778
171,1,687.556
172,1,687.556
173,1,345.778
174,1,341.778
175,1,683.556
176,1,341.778
177,1,687.556
178,1,341.778
179,1,683.556
180,1,341.778
181,1,345.778
182,1,341.778
183,1,345.778
184,1,341.778
185,1,341.778
186,1,341.778
187,0,-1
188,0,-1
189,0,-1
190,0,-1
191,0,-1
192,0,-1
