packet_id,delivered,delay_ms
1,1,3595.78
2,1,1716.89
3,1,1029.33
4,1,341.778
5,1,1259.33
6,1,345.778
7,1,691.556
8,1,687.556
9,1,925.556
10,1,1605.11
11,1,1938.89
12,1,2143.67
13,1,1926.89
14,1,345.778
15,1,2940.22
16,1,1142.33
17,1,1593.11
18,1,5598.44
19,1,900.333
20,1,1033.33
21,1,6141
22,1,683.556
23,1,2469.44
24,1,2803.22
25,1,687.556
26,1,1033.33
27,1,429.556
28,0,-1
29,1,341.778
30,1,1675.56
31,1,3554.56
32,1,687.556
33,1,1033.33
34,1,1708.89
35,0,-1
36,1,1885.67
37,1,4097.11
38,1,2762
39,1,5432.22
40,1,345.778
41,1,859.111
42,1,3107.78
43,1,1184.89
44,1,1647.67
45,1,1029.33
46,1,3638.33
47,1,1271.33
48,1,646.333
49,0,-1
50,1,742.111
51,1,1304.56
52,1,2524
53,1,1117.11
54,1,1510.67
55,0,-1
56,1,3400.33
57,1,2486.78
58,1,817.889
59,1,3734.11
60,1,4055.89
61,0,-1
62,1,2478.78
63,1,4264.67
64,1,2695.56
65,1,1606.44
66,1,687.556
67,1,351.111
68,1,1235.44
69,1,6476.11
70,1,1352.44
71,1,2072
72,1,5486.78
73,0,-1
74,1,341.778
75,1,4360.44
76,1,1029.33
77,1,1952.22
78,1,1594.44
79,0,-1
80,0,-1
81,1,1033.33
82,1,687.556
83,1,3567.89
84,1,651.667
85,1,1311.22
86,1,1540
87,1,1718.22
88,1,3196.89
89,1,3647.67
90,1,5099.78
91,0,-1
92,1,4524
93,1,1520
94,1,3739.44
95,1,1029.33
96,1,341.778
97,1,2191.56
98,1,1278
99,1,2468.11
100,1,2738.11
101,1,3063.89
102,1,1134.44
103,1,5275.33
104,1,1371.11
105,1,1343.22
106,1,5942.89
107,1,3606.44
108,1,3401.67
109,0,-1
110,1,1538.67
111,1,2029.33
112,0,-1
113,1,3698.22
114,1,3815.22
115,1,2680.89
116,0,-1
117,1,2238.11
118,0,-1
119,1,3907
120,1,1687.56
121,1,1123.78
122,1,2230.11
123,1,683.556
124,0,-1
125,1,618.444
126,1,1033.33
127,0,-1
128,1,4107.78
129,0,-1
130,1,2655.67
131,0,-1
132,0,-1
133,1,5542.67
134,1,3865.78
135,0,-1
136,0,-1
137,0,-1
138,1,3444.22
139,1,988.111
140,1,345.778
141,1,1371.11
142,0,-1
143,0,-1
144,0,-1
145,1,683.556
146,1,1801.89
147,0,-1
148,1,5852.44
149,0,-1
150,1,3528
151,0,-1
152,0,-1
153,0,-1
154,0,-1
155,0,-1
156,0,-1
157,0,-1
158,0,-1
159,1,1304.67
160,0,-1
161,0,-1
162,0,-1
163,0,-1
165,0,-1
166,0,-1
167,1,759.333
168,1,3820.56
169,0,-1
170,0,-1
171,1,345.778
172,0,-1
173,0,-1
174,0,-1
175,0,-1
179,0,-1
180,0,-1
181,0,-1
182,0,-1
184,0,-1
1000001,0,-1
1000002,1,3183.56
1000003,0,-1
1000004,1,3283.33
1000005,1,6521.33
1000006,0,-1
1000007,1,3617.11
1000008,1,683.556
1000009,1,4518.67
1000010,1,683.556
1000011,1,3529.33
1000012,1,1371.11
1000013,1,341.778
1000014,1,2949.56
1000015,1,345.778
1000016,1,1550.56
1000017,1,5186.22
1000018,1,1734.11
1000019,1,5728.78
1000020,0,-1
1000021,1,4159.67
1000022,1,3738.11
1000023,1,1859.22
1000024,1,3629.11
1000025,1,687.556
1000026,1,2472.22
1000027,1,429.556
1000028,0,-1
1000029,1,5270
1000030,1,341.778
1000031,1,5812.56
1000032,0,-1
1000033,1,1325.89
1000034,1,1613.11
1000035,0,-1
1000036,0,-1
1000037,0,-1
1000038,1,1109.11
1000039,1,3017.33
1000040,1,1401.78
1000041,0,-1
1000042,0,-1
1000043,0,-1
1000044,0,-1
1000045,1,4001.44
1000046,0,-1
1000047,0,-1
1000048,0,-1
1000049,1,509.333
1000050,1,1155.78
1000051,0,-1
1000052,0,-1
1000053,1,972.111
1000054,1,1716.89
1000055,0,-1
1000056,0,-1
1000057,0,-1
1000058,1,687.556
1000059,1,3743.44
1000060,1,3321.89
1000061,1,896.333
1000062,1,4532
1000063,1,1033.33
1000064,1,2726.11
1000065,1,683.556
1000066,1,4619.78
1000067,1,3827.22
1000069,1,5408.33
1000070,1,1405.67
1000071,1,3276.67
1000072,0,-1
1000073,1,1029.33
1000074,0,-1
1000075,1,4703.56
1000076,1,1429.56
1000077,0,-1
1000078,0,-1
1000079,0,-1
1000080,1,2359.11
1000081,1,4165
1000082,1,4912.33
1000083,1,5579.89
1000084,1,3694.22
1000085,1,5905.67
1000086,0,-1
1000087,0,-1
1000088,0,-1
1000089,0,-1
1000090,0,-1
1000091,1,4996.11
1000092,1,6243.44
1000093,1,341.778
1000094,0,-1
1000095,1,3239.44
1000096,1,2905.67
1000097,1,1263.33
1000098,0,-1
1000099,0,-1
1000100,0,-1
1000101,0,-1
1000102,1,687.556
1000103,1,6315.22
1000104,1,1146.33
1000105,1,1033.33
1000106,1,4863.11
1000107,1,5413.67
1000108,1,4195.56
1000109,0,-1
1000110,1,683.556
1000111,1,341.778
1000112,1,2735.44
1000113,0,-1
1000114,0,-1
1000115,1,4074.56
1000116,1,2586.56
1000117,0,-1
1000118,0,-1
1000119,1,3278
1000120,0,-1
1000121,0,-1
1000122,0,-1
1000123,1,3615.78
1000124,0,-1
1000125,1,1675.56
1000126,0,-1
1000127,0,-1
1000128,0,-1
1000129,0,-1
1000130,1,4492.11
1000131,1,2911
1000132,1,425.667
1000133,0,-1
1000134,0,-1
1000135,0,-1
1000136,0,-1
1000137,0,-1
1000138,0,-1
1000140,0,-1
1000141,1,3111.78
1000142,1,772.778
1000143,1,4909.67
1000144,0,-1
1000145,0,-1
1000146,0,-1
1000147,0,-1
1000150,0,-1
1000151,1,929.556
1000152,1,1033.33
1000153,0,-1
1000154,0,-1
1000155,0,-1
1000156,0,-1
1000157,0,-1
1000158,0,-1
1000159,0,-1
1000160,0,-1
1000163,0,-1
1000164,0,-1
1000165,1,345.778
1000167,0,-1
1000169,1,687.556
1000170,0,-1
1000171,0,-1
1000172,0,-1
1000173,0,-1
1000174,0,-1
1000176,0,-1
1000177,0,-1
1000178,0,-1
1000179,0,-1
1000180,0,-1
1000184,0,-1
1000185,0,-1
1000186,0,-1
2000001,0,-1
2000002,1,3105.11
2000003,0,-1
2000004,0,-1
2000005,0,-1
2000006,1,492.111
2000007,1,1001.44
2000008,1,3067.89
2000009,1,5441.56
2000010,1,4540
2000011,0,-1
2000012,0,-1
2000013,1,687.556
2000014,1,2654.33
2000015,1,1827.33
2000016,1,1375.11
2000017,1,341.778
2000018,0,-1
2000019,1,683.556
2000020,1,3313.89
2000021,0,-1
2000022,0,-1
2000023,1,3325.89
2000024,0,-1
2000025,1,5742.11
2000026,1,6860.44
2000027,1,1105.11
2000028,0,-1
2000029,1,341.778
2000030,0,-1
2000031,0,-1
2000032,1,646.333
2000033,1,7069.22
2000034,1,1925.67
2000035,1,3397.67
2000036,0,-1
2000037,1,1181
2000038,1,2821.89
2000039,1,3356.44
2000040,1,5275.33
2000041,1,5287.33
2000042,0,-1
2000043,1,1010.67
2000044,1,4494.78
2000045,1,345.778
2000046,0,-1
2000047,0,-1
2000048,0,-1
2000049,0,-1
2000050,1,341.778
2000051,0,-1
2000052,1,1029.33
2000053,0,-1
2000054,0,-1
2000055,1,4783.33
2000056,1,341.778
2000057,1,3331.22
2000058,1,2997.44
2000059,1,3114.44
2000060,0,-1
2000061,1,687.556
2000062,1,3452.22
2000063,1,2106.44
2000064,1,3323.22
2000065,1,634.333
2000066,0,-1
2000067,0,-1
2000068,0,-1
2000069,1,6202.22
2000070,0,-1
2000071,1,4082.56
2000072,0,-1
2000073,0,-1
2000074,1,2856.44
2000075,1,1025.33
2000076,1,1371.11
2000077,1,5075.89
2000078,0,-1
2000079,0,-1
2000080,1,3282
2000081,1,3949.56
2000082,1,4166.33
2000083,0,-1
2000084,0,-1
2000085,1,3286
2000086,1,5288.67
2000087,1,3953.56
2000088,1,683.556
2000089,0,-1
2000090,1,1033.33
2000091,1,4250.11
2000092,1,1371.11
2000093,0,-1
2000094,0,-1
2000095,0,-1
2000096,1,1033.33
2000097,0,-1
2000098,1,5460.22
2000099,0,-1
2000100,1,1657
2000101,0,-1
2000102,1,345.778
2000103,1,2998.78
2000104,1,1223.44
2000105,1,6570.56
2000106,1,3775.33
2000107,0,-1
2000108,1,992.111
2000109,0,-1
2000110,1,1322
2000111,0,-1
2000112,1,341.778
2000113,1,896.333
2000114,1,2990.78
2000115,0,-1
2000116,1,1649
2000117,1,1530.78
2000118,1,3996.11
2000119,0,-1
2000120,0,-1
2000121,1,4204.89
2000122,1,1321.89
2000123,0,-1
2000124,1,4292.67
2000125,0,-1
2000126,0,-1
2000127,0,-1
2000128,1,1057.22
2000129,1,2399
2000130,0,-1
2000131,0,-1
2000132,1,341.778
2000133,1,687.556
2000134,0,-1
2000135,1,3708.89
2000136,1,1033.33
2000137,0,-1
2000138,0,-1
2000139,0,-1
2000140,1,1917.67
2000141,1,2482.78
2000142,1,1260.67
2000143,0,-1
2000144,1,341.778
2000145,1,1371.11
2000146,1,1033.33
2000147,1,4026.67
2000148,0,-1
2000149,1,6029.33
2000150,0,-1
2000151,1,6238.11
2000152,0,-1
2000153,0,-1
2000154,1,1313.89
2000155,0,-1
2000156,0,-1
2000157,0,-1
2000158,0,-1
2000160,1,1029.33
2000161,0,-1
2000162,1,3876.44
2000163,1,687.556
2000164,0,-1
2000165,0,-1
2000166,1,1025.33
2000167,0,-1
2000168,1,683.556
2000169,0,-1
2000170,1,2859.11
2000171,1,687.556
2000172,0,-1
2000173,0,-1
2000174,0,-1
2000175,0,-1
2000178,0,-1
2000179,0,-1
2000180,0,-1
2000181,1,341.778
2000183,0,-1
2000185,0,-1
3000001,0,-1
3000002,1,687.556
3000003,0,-1
3000004,1,738.111
3000005,0,-1
3000006,1,6030.67
3000007,1,4127.78
3000008,1,3794
3000009,1,687.556
3000010,1,1271.33
3000011,0,-1
3000012,0,-1
3000013,0,-1
3000014,0,-1
3000015,1,2692.89
3000016,1,7248.78
3000017,1,2909.67
3000018,1,1448.22
3000019,1,6239.44
3000020,1,1722.11
3000021,1,1271.33
3000022,0,-1
3000023,0,-1
3000024,1,3247.44
3000025,1,3456.22
3000026,0,-1
3000027,1,345.778
3000028,0,-1
3000029,1,2993.44
3000030,1,687.556
3000031,0,-1
3000032,1,4863.11
3000033,1,687.556
3000034,0,-1
3000035,1,5872.44
3000036,0,-1
3000037,0,-1
3000038,0,-1
3000039,1,3540
3000040,0,-1
3000041,1,5413.67
3000042,0,-1
3000043,1,687.556
3000044,1,2024
3000045,0,-1
3000046,1,1375.11
3000047,0,-1
3000048,1,341.778
3000049,1,4625.11
3000050,1,6627.78
3000051,1,3957.56
3000052,1,3623.78
3000053,1,7617.11
3000054,0,-1
3000055,0,-1
3000056,0,-1
3000057,0,-1
3000058,1,1325.89
3000059,0,-1
3000060,1,1300.56
3000061,1,3795.33
3000062,1,2911
3000063,0,-1
3000064,0,-1
3000065,1,1929.56
3000066,1,3586.56
3000067,0,-1
3000068,1,1298
3000069,1,4917.67
3000070,0,-1
3000071,0,-1
3000072,1,3440.22
3000073,1,3465.56
3000074,1,6449.56
3000075,1,4546.67
