scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,ci95_low,ci95_high,ci_method
fault_links,delay_only,delivery_ratio,50,1,50,0.178125,0.024609874119853017,0.1714583333333333,0.1846875,hierarchical_bootstrap_5000
fault_links,delay_only,drop_rate,50,1,50,0.24906250000000005,0.030744386148046306,0.24052083333333332,0.2572916666666667,hierarchical_bootstrap_5000
fault_links,delay_only,throughput_packets_per_slot,50,1,50,1.1400000000000001,0.15750319436705928,1.096666666666667,1.1826666666666668,hierarchical_bootstrap_5000
fault_links,delay_only,average_delay_slots,50,1,50,10.107364588410649,1.073891633343269,9.814365248641758,10.407361092851302,hierarchical_bootstrap_5000
fault_links,delay_only,p95_delay_slots,50,1,50,20.949999999999996,2.3668846311434057,20.313924999999998,21.606025,hierarchical_bootstrap_5000
fault_links,delay_only,mean_queue_packets,50,1,50,2.9856111111111114,0.10466180884298108,2.9570555555555558,3.0146395833333335,hierarchical_bootstrap_5000
fault_links,delay_only,routing_switches,50,1,50,177.32,17.48520073942416,172.5,182.02,hierarchical_bootstrap_5000
fault_links,delay_only,episode_reward,50,1,50,-15.750178952950089,1.4323031241953887,-16.1293551045976,-15.34953488654317,hierarchical_bootstrap_5000
fault_links,delay_only,global_delay_cost,50,1,50,0.3151811341856215,0.026247387489964014,0.30778257972393,0.322232559574357,hierarchical_bootstrap_5000
fault_links,delay_only,global_queue_cost,50,1,50,0.06937098765432098,0.00240374557574434,0.06869192901234569,0.07005246913580247,hierarchical_bootstrap_5000
fault_links,delay_only,global_load_imbalance,50,1,50,0.6382449933757774,0.00826804387752778,0.6359271927660669,0.6404429757487746,hierarchical_bootstrap_5000
fault_links,delay_only,global_switch_cost,50,1,50,0.2682940300153922,0.026726838769693066,0.26102868336000856,0.27565561029505337,hierarchical_bootstrap_5000
fault_links,delay_only,global_throughput_reward,50,1,50,0.05419250117563148,0.007707678711731377,0.052067172028859916,0.05628613995800082,hierarchical_bootstrap_5000
fault_links,delay_only,global_control_overhead_ratio,50,1,50,0.04105256966688305,0.0006519814658422319,0.040876769670736994,0.04123854863373865,hierarchical_bootstrap_5000
fault_links,delay_only,global_drop_cost,50,1,50,0.07056224041658825,0.00904348351781262,0.06805017646223596,0.07294965280460702,hierarchical_bootstrap_5000
fault_links,full_heuristic,delivery_ratio,50,1,50,0.3278125,0.03693969760585512,0.3175,0.3376041666666667,hierarchical_bootstrap_5000
fault_links,full_heuristic,drop_rate,50,1,50,0.17166666666666663,0.033040406144728564,0.1626041666666667,0.18072916666666664,hierarchical_bootstrap_5000
fault_links,full_heuristic,throughput_packets_per_slot,50,1,50,2.0980000000000003,0.23641406467747272,2.033333333333333,2.1613333333333333,hierarchical_bootstrap_5000
fault_links,full_heuristic,average_delay_slots,50,1,50,8.712521501135303,0.5824375732499676,8.5498499297519,8.866888496178817,hierarchical_bootstrap_5000
fault_links,full_heuristic,p95_delay_slots,50,1,50,18.993999999999996,2.0419738350079664,18.436974999999997,19.563999999999993,hierarchical_bootstrap_5000
fault_links,full_heuristic,mean_queue_packets,50,1,50,2.4989166666666667,0.09719399088004217,2.4722715277777776,2.5244722222222222,hierarchical_bootstrap_5000
fault_links,full_heuristic,routing_switches,50,1,50,142.34,20.413690884066114,136.76,148.2205,hierarchical_bootstrap_5000
fault_links,full_heuristic,episode_reward,50,1,50,-9.595736189397101,1.5574683245988274,-10.031159267808787,-9.176855960710549,hierarchical_bootstrap_5000
fault_links,full_heuristic,global_delay_cost,50,1,50,0.2765614171962833,0.01787080062161848,0.27177967324007674,0.28144052454668533,hierarchical_bootstrap_5000
fault_links,full_heuristic,global_queue_cost,50,1,50,0.05812716049382716,0.002243236492955411,0.05751598765432098,0.0587450925925926,hierarchical_bootstrap_5000
fault_links,full_heuristic,global_load_imbalance,50,1,50,0.5524351494361722,0.007493863157880223,0.5503868715733098,0.5544673675464686,hierarchical_bootstrap_5000
fault_links,full_heuristic,global_switch_cost,50,1,50,0.21585586584349872,0.030761446099873385,0.20755779382325984,0.22420186449878968,hierarchical_bootstrap_5000
fault_links,full_heuristic,global_throughput_reward,50,1,50,0.10117557598546291,0.012327824114604188,0.09773831431441035,0.10447402220845728,hierarchical_bootstrap_5000
fault_links,full_heuristic,global_control_overhead_ratio,50,1,50,0.04130825048402745,0.0006576970889628741,0.04112453617310281,0.04148889937715081,hierarchical_bootstrap_5000
