packet_id,delivered,delay_ms
1,1,1716.89
2,1,341.778
3,1,1375.11
4,0,-1
5,0,-1
6,1,2062.67
7,1,1696.89
8,1,2364.44
9,1,4367.11
10,1,1708.89
11,1,691.556
12,1,1704.89
13,1,3084
14,1,2030.67
15,1,2030.67
16,0,-1
17,1,1029.33
18,0,-1
19,0,-1
20,1,3700.89
21,1,1375.11
22,1,345.778
23,1,363.111
24,1,341.778
25,0,-1
26,1,1375.11
27,1,698.222
28,1,687.556
29,1,341.778
30,1,2076
31,1,1029.33
32,1,341.778
33,0,-1
34,1,3392.44
35,1,341.778
36,1,1696.89
37,1,363.111
38,1,345.778
39,1,1364.44
40,1,1030.67
41,1,2062.67
42,1,1371.11
43,1,1029.33
44,1,1033.33
45,0,-1
46,1,698.222
47,0,-1
48,0,-1
49,0,-1
50,0,-1
51,1,2367.11
52,1,1029.33
53,1,1033.33
54,1,1029.33
55,0,-1
56,0,-1
57,0,-1
58,1,1033.33
59,1,363.111
60,1,345.778
61,1,1371.11
62,0,-1
63,0,-1
64,0,-1
65,1,1371.11
66,0,-1
67,0,-1
68,1,2058.67
69,1,345.778
70,1,1029.33
71,0,-1
72,0,-1
73,1,687.556
74,1,341.778
75,1,1033.33
76,0,-1
77,1,341.778
78,0,-1
79,1,708.889
80,0,-1
81,0,-1
82,0,-1
83,0,-1
84,0,-1
85,1,1029.33
86,0,-1
87,0,-1
88,0,-1
90,1,345.778
91,1,687.556
92,0,-1
94,1,687.556
95,1,1029.33
96,1,1371.11
97,0,-1
98,1,687.556
99,0,-1
100,0,-1
101,1,687.556
102,0,-1
104,0,-1
105,0,-1
106,1,1029.33
107,1,341.778
108,0,-1
109,1,683.556
110,1,1375.11
111,0,-1
112,1,341.778
113,0,-1
114,0,-1
115,0,-1
116,1,2084
117,0,-1
118,0,-1
119,1,687.556
120,0,-1
121,0,-1
122,0,-1
123,1,2066.67
124,1,345.778
125,0,-1
126,1,345.778
127,1,341.778
128,0,-1
129,1,417.778
130,0,-1
131,0,-1
132,0,-1
133,0,-1
134,0,-1
135,0,-1
136,1,691.556
137,1,345.778
138,0,-1
139,0,-1
140,1,1375.11
141,1,345.778
142,0,-1
143,1,341.778
144,0,-1
145,0,-1
146,0,-1
147,0,-1
148,0,-1
149,1,341.778
150,0,-1
151,0,-1
152,0,-1
154,1,345.778
155,1,341.778
156,0,-1
157,0,-1
158,1,1033.33
160,0,-1
161,0,-1
162,0,-1
165,0,-1
168,0,-1
169,0,-1
170,0,-1
171,0,-1
172,0,-1
174,0,-1
175,0,-1
178,0,-1
180,0,-1
181,0,-1
1000001,1,687.556
1000002,1,1371.11
1000003,1,1017.33
1000004,1,2022.67
1000005,1,683.556
1000006,1,1033.33
1000007,1,683.556
1000008,1,687.556
1000009,0,-1
1000010,1,687.556
1000011,0,-1
1000012,1,2034.67
1000013,1,341.778
1000014,1,683.556
1000015,1,2017.33
1000016,1,1367.11
1000017,0,-1
1000018,1,691.556
1000019,0,-1
1000020,1,1716.89
1000021,1,700.889
1000022,1,2367.11
1000023,1,1033.33
1000024,0,-1
1000025,1,341.778
1000026,1,2408.44
1000027,0,-1
1000028,1,683.556
1000029,1,341.778
1000030,1,1029.33
1000031,1,687.556
